lat,lon,postcode,quality,eastings,northings,country,nhs_ha,longitude,latitude,european_electoral_region,primary_care_trust,region,lsoa,msoa,incode,outcode,parliamentary_constituency,admin_district,parish,admin_county,admin_ward,ced,ccg,nuts,codes,distance
51.318225,-2.206578,BA14 8TQ,1,385683,157673,England,South West,-2.206821,51.317982,South West,Wiltshire,South West,Wiltshire 032C,Wiltshire 032,8TQ,BA14,South West Wiltshire,Wiltshire,Trowbridge,,Trowbridge Central,,"NHS Bath and North East Somerset, Swindon and Wiltshire",Wiltshire,"{'admin_district': 'E06000054', 'admin_county': 'E99999999', 'admin_ward': 'E05013478', 'parish': 'E04012701', 'parliamentary_constituency': 'E14000954', 'ccg': 'E38000231', 'ccg_id': '92G', 'ced': 'E99999999', 'nuts': 'TLK15', 'lsoa': 'E01032101', 'msoa': 'E02006685', 'lau2': 'E06000054'}",31.90427635
51.664826,0.376871,CM4 9HN,1,564480,198902,England,East of England,0.376871,51.664826,Eastern,South West Essex,East of England,Brentwood 002C,Brentwood 002,9HN,CM4,Brentwood and Ongar,Brentwood,Ingatestone and Fryerning,Essex,"Ingatestone, Fryerning and Mountnessing",Brentwood Rural,NHS Basildon and Brentwood,Heart of Essex,"{'admin_district': 'E07000068', 'admin_county': 'E10000012', 'admin_ward': 'E05004076', 'parish': 'E04003943', 'parliamentary_constituency': 'E14000594', 'ccg': 'E38000007', 'ccg_id': '99E', 'ced': 'E58000412', 'nuts': 'TLH36', 'lsoa': 'E01021459', 'msoa': 'E02004465', 'lau2': 'E07000068'}",0.0
51.797923,-4.968177,SA61 1RN,1,195429,215199,Wales,Hywel Dda University Health Board,-4.968177,51.797923,Wales,Hywel Dda University Health Board,,Pembrokeshire 005A,Pembrokeshire 005,1RN,SA61,Preseli Pembrokeshire,Pembrokeshire,Haverfordwest,,Haverfordwest: Castle,,Hywel Dda University Health Board,South West Wales,"{'admin_district': 'W06000009', 'admin_county': 'W99999999', 'admin_ward': 'W05000409', 'parish': 'W04000941', 'parliamentary_constituency': 'W07000065', 'ccg': 'W11000025', 'ccg_id': '7A2', 'ced': 'W99999999', 'nuts': 'TLL14', 'lsoa': 'W01000568', 'msoa': 'W02000130', 'lau2': 'W06000009'}",0.0
51.905654,-2.08205,GL50 1PP,1,394452,223016,England,South West,-2.08205,51.905654,South West,Gloucestershire,South West,Cheltenham 004C,Cheltenham 004,1PP,GL50,Cheltenham,Cheltenham,"Cheltenham, unparished area",Gloucestershire,St Paul's,St. Paul's and Swindon,NHS Gloucestershire,Gloucestershire CC,"{'admin_district': 'E07000078', 'admin_county': 'E10000013', 'admin_ward': 'E05004302', 'parish': 'E43000255', 'parliamentary_constituency': 'E14000630', 'ccg': 'E38000062', 'ccg_id': '11M', 'ced': 'E58000515', 'nuts': 'TLK13', 'lsoa': 'E01022152', 'msoa': 'E02004603', 'lau2': 'E07000078'}",0.0
51.304334999999995,-0.6352720000000001,GU24 0EU,1,495232,157019,England,South East Coast,-0.635272,51.304335,South East,Surrey,South East,Woking 012B,Woking 012,0EU,GU24,Woking,Woking,"Woking, unparished area",Surrey,Heathlands,Woking South West,NHS Surrey Heartlands,West Surrey,"{'admin_district': 'E07000217', 'admin_county': 'E10000030', 'admin_ward': 'E05010798', 'parish': 'E43000144', 'parliamentary_constituency': 'E14001047', 'ccg': 'E38000246', 'ccg_id': '92A', 'ced': 'E58001539', 'nuts': 'TLJ25', 'lsoa': 'E01030945', 'msoa': 'E02006467', 'lau2': 'E07000217'}",0.0
51.401441,-0.765678,RG12 8XP,1,485960,167657,England,South Central,-0.765678,51.401441,South East,Berkshire East,South East,Bracknell Forest 009A,Bracknell Forest 009,8XP,RG12,Bracknell,Bracknell Forest,Bracknell,,Great Hollands North,,NHS Frimley,Berkshire,"{'admin_district': 'E06000036', 'admin_county': 'E99999999', 'admin_ward': 'E05002278', 'parish': 'E04001141', 'parliamentary_constituency': 'E14000586', 'ccg': 'E38000252', 'ccg_id': 'D4U1Y', 'ced': 'E99999999', 'nuts': 'TLJ11', 'lsoa': 'E01016209', 'msoa': 'E02003360', 'lau2': 'E06000036'}",0.0
50.829726,-1.081785,PO2 9NZ,1,464764,103756,England,South Central,-1.081785,50.829726,South East,Portsmouth City Teaching,South East,Portsmouth 007B,Portsmouth 007,9NZ,PO2,Portsmouth North,Portsmouth,"Portsmouth, unparished area",,Hilsea,,NHS Portsmouth,Portsmouth,"{'admin_district': 'E06000044', 'admin_county': 'E99999999', 'admin_ward': 'E05002449', 'parish': 'E43000035', 'parliamentary_constituency': 'E14000883', 'ccg': 'E38000137', 'ccg_id': '10R', 'ced': 'E99999999', 'nuts': 'TLJ31', 'lsoa': 'E01017089', 'msoa': 'E02003530', 'lau2': 'E06000044'}",0.0
51.199023,-2.54258,BA4 4JX,1,362186,144563,England,South West,-2.54258,51.199023,South West,Somerset,South West,Mendip 006C,Mendip 006,4JX,BA4,Wells,Mendip,Shepton Mallet,Somerset,Shepton East,Shepton Mallet,NHS Somerset,Somerset CC,"{'admin_district': 'E07000187', 'admin_county': 'E10000027', 'admin_ward': 'E05006784', 'parish': 'E04008585', 'parliamentary_constituency': 'E14001026', 'ccg': 'E38000150', 'ccg_id': '11X', 'ced': 'E58001322', 'nuts': 'TLK23', 'lsoa': 'E01029064', 'msoa': 'E02006052', 'lau2': 'E07000187'}",0.0
51.611757,0.273606,CM14 5LZ,1,557521,192773,England,East of England,0.273606,51.611757,Eastern,South West Essex,East of England,Brentwood 006D,Brentwood 006,5LZ,CM14,Brentwood and Ongar,Brentwood,"Brentwood, unparished area",Essex,South Weald,Brentwood Rural,NHS Basildon and Brentwood,Heart of Essex,"{'admin_district': 'E07000068', 'admin_county': 'E10000012', 'admin_ward': 'E05004079', 'parish': 'E43000060', 'parliamentary_constituency': 'E14000594', 'ccg': 'E38000007', 'ccg_id': '99E', 'ced': 'E58000412', 'nuts': 'TLH36', 'lsoa': 'E01021468', 'msoa': 'E02004469', 'lau2': 'E07000068'}",0.0
51.391512,-0.107147,CR7 7JR,1,531795,167530,England,London,-0.107147,51.391512,London,Croydon,London,Croydon 015A,Croydon 015,7JR,CR7,Croydon North,Croydon,"Croydon, unparished area",,Bensham Manor,,NHS South West London,Croydon,"{'admin_district': 'E09000008', 'admin_county': 'E99999999', 'admin_ward': 'E05011464', 'parish': 'E43000198', 'parliamentary_constituency': 'E14000655', 'ccg': 'E38000245', 'ccg_id': '36L', 'ced': 'E99999999', 'nuts': 'TLI62', 'lsoa': 'E01001004', 'msoa': 'E02000208', 'lau2': 'E09000008'}",0.0
